"rgn_id","stock_id","year","bbmsy"
1,"Coregonus_autumnalis-18",2001,1.53681330501714
1,"Coregonus_nasus-18",2001,1.73335714099927
1,"Coregonus_sardinella-18",2001,1.61136410209949
2,"Coregonus_autumnalis-18",2001,1.53681330501714
2,"Coregonus_nasus-18",2001,1.73335714099927
2,"Coregonus_sardinella-18",2001,1.61136410209949
2,"Clupea_harengus-21",2001,0.121879203106389
2,"Cyclopterus_lumpus-21",2001,1.03156111208563
2,"Gadus_morhua-21",2001,0.030693716542182
2,"Mallotus_villosus-21",2001,0.125260354843054
2,"Gadus_ogac-21",2001,0.567747216352758
2,"Reinhardtius_hippoglossoides-21",2001,1.87725529765304
2,"Pandalus_borealis-21",2001,1.43237975706181
3,"Coregonus_autumnalis-18",2001,1.53681330501714
3,"Coregonus_nasus-18",2001,1.73335714099927
3,"Coregonus_sardinella-18",2001,1.61136410209949
4,"Coregonus_autumnalis-18",2001,1.53681330501714
4,"Coregonus_nasus-18",2001,1.73335714099927
4,"Coregonus_sardinella-18",2001,1.61136410209949
4,"Coregonus_muksun-18",2001,1.67976042628789
4,"Mallotus_villosus-21",2001,0.125260354843054
4,"Gadus_ogac-21",2001,0.567747216352758
4,"Reinhardtius_hippoglossoides-21",2001,1.87725529765304
4,"Chionoecetes_opilio-21",2001,1.90114991028197
4,"Micromesistius_poutassou-27",2001,1.38074473183434
4,"Molva_molva-27",2001,1.6383657902745
4,"Brosme_brosme-27",2001,1.37034544824072
4,"Cetorhinus_maximus-27",2001,0.0774800175988354
4,"Sebastes_norvegicus-27",2001,1.5576490403336
4,"Reinhardtius_hippoglossoides-27",2001,1.17128630061155
4,"Trisopterus_esmarkii-27",2001,0.0635139177287961
4,"Pleuronectes_platessa-27",2001,0.317163993156747
4,"Pollachius_virens-27",2001,1.58456852539761
4,"Hippoglossus_hippoglossus-27",2001,0.691399618754169
4,"Melanogrammus_aeglefinus-27",2001,1.15811233579374
4,"Anarhichas_lupus-27",2001,1.6054092381301
4,"Pandalus_borealis-27",2001,0.438842611509683
5,"Micromesistius_poutassou-27",2001,1.38074473183434
5,"Molva_molva-27",2001,1.6383657902745
5,"Brosme_brosme-27",2001,1.37034544824072
5,"Sebastes_norvegicus-27",2001,1.5576490403336
5,"Sebastes_mentella-27",2001,1.95931679600934
5,"Reinhardtius_hippoglossoides-27",2001,1.17128630061155
5,"Trisopterus_esmarkii-27",2001,0.0635139177287961
5,"Pleuronectes_platessa-27",2001,0.317163993156747
5,"Pollachius_virens-27",2001,1.58456852539761
5,"Melanogrammus_aeglefinus-27",2001,1.15811233579374
5,"Anarhichas_lupus-27",2001,1.6054092381301
5,"Pandalus_borealis-27",2001,0.438842611509683
6,"Merlangius_merlangus-27",2001,0.0136069902347931
6,"Micromesistius_poutassou-27",2001,1.38074473183434
6,"Molva_molva-27",2001,1.6383657902745
6,"Brosme_brosme-27",2001,1.37034544824072
6,"Cetorhinus_maximus-27",2001,0.0774800175988354
6,"Sebastes_norvegicus-27",2001,1.5576490403336
6,"Sebastes_mentella-27",2001,1.95931679600934
6,"Reinhardtius_hippoglossoides-27",2001,1.17128630061155
6,"Trisopterus_esmarkii-27",2001,0.0635139177287961
6,"Pleuronectes_platessa-27",2001,0.317163993156747
6,"Pollachius_virens-27",2001,1.58456852539761
6,"Hippoglossus_hippoglossus-27",2001,0.691399618754169
6,"Melanogrammus_aeglefinus-27",2001,1.15811233579374
6,"Anarhichas_lupus-27",2001,1.6054092381301
6,"Pandalus_borealis-27",2001,0.438842611509683
7,"Micromesistius_poutassou-27",2001,1.38074473183434
7,"Sebastes_norvegicus-27",2001,1.5576490403336
7,"Melanogrammus_aeglefinus-27",2001,1.15811233579374
8,"Clupea_harengus-21",2001,0.121879203106389
8,"Cyclopterus_lumpus-21",2001,1.03156111208563
8,"Gadus_morhua-21",2001,0.030693716542182
8,"Mallotus_villosus-21",2001,0.125260354843054
8,"Gadus_ogac-21",2001,0.567747216352758
8,"Reinhardtius_hippoglossoides-21",2001,1.87725529765304
8,"Melanogrammus_aeglefinus-21",2001,0.263303500019489
8,"Hippoglossoides_platessoides-21",2001,0.00475325808672855
8,"Pandalus_borealis-21",2001,1.43237975706181
8,"Chionoecetes_opilio-21",2001,1.90114991028197
9,"Micromesistius_poutassou-27",2001,1.38074473183434
9,"Brosme_brosme-27",2001,1.37034544824072
9,"Sebastes_norvegicus-27",2001,1.5576490403336
9,"Sebastes_mentella-27",2001,1.95931679600934
9,"Reinhardtius_hippoglossoides-27",2001,1.17128630061155
9,"Pleuronectes_platessa-27",2001,0.317163993156747
9,"Hippoglossus_hippoglossus-27",2001,0.691399618754169
9,"Melanogrammus_aeglefinus-27",2001,1.15811233579374
9,"Anarhichas_lupus-27",2001,1.6054092381301
9,"Pandalus_borealis-27",2001,0.438842611509683
1,"Coregonus_autumnalis-18",2002,1.53908625287536
1,"Coregonus_nasus-18",2002,1.73462270129808
1,"Coregonus_sardinella-18",2002,1.61147882894615
2,"Coregonus_autumnalis-18",2002,1.53908625287536
2,"Coregonus_nasus-18",2002,1.73462270129808
2,"Coregonus_sardinella-18",2002,1.61147882894615
2,"Clupea_harengus-21",2002,0.126665694337452
2,"Cyclopterus_lumpus-21",2002,1.04828101934627
2,"Gadus_morhua-21",2002,0.0284338277383109
2,"Mallotus_villosus-21",2002,0.118224296258397
2,"Gadus_ogac-21",2002,0.530061020036457
2,"Reinhardtius_hippoglossoides-21",2002,1.87044587908155
2,"Pandalus_borealis-21",2002,1.43027248194817
3,"Coregonus_autumnalis-18",2002,1.53908625287536
3,"Coregonus_nasus-18",2002,1.73462270129808
3,"Coregonus_sardinella-18",2002,1.61147882894615
4,"Coregonus_autumnalis-18",2002,1.53908625287536
4,"Coregonus_nasus-18",2002,1.73462270129808
4,"Coregonus_sardinella-18",2002,1.61147882894615
4,"Coregonus_muksun-18",2002,1.6819389614755
4,"Mallotus_villosus-21",2002,0.118224296258397
4,"Gadus_ogac-21",2002,0.530061020036457
4,"Reinhardtius_hippoglossoides-21",2002,1.87044587908155
4,"Chionoecetes_opilio-21",2002,1.8569166304218
4,"Micromesistius_poutassou-27",2002,1.36198058521476
4,"Molva_molva-27",2002,1.63810054205438
4,"Brosme_brosme-27",2002,1.37112937502161
4,"Cetorhinus_maximus-27",2002,0.0714274234960781
4,"Sebastes_norvegicus-27",2002,1.55430344940491
4,"Reinhardtius_hippoglossoides-27",2002,1.17790390660989
4,"Trisopterus_esmarkii-27",2002,0.0550190451481884
4,"Pleuronectes_platessa-27",2002,0.317966179097554
4,"Pollachius_virens-27",2002,1.58407237173364
4,"Hippoglossus_hippoglossus-27",2002,0.699225621456994
4,"Melanogrammus_aeglefinus-27",2002,1.15910640295939
4,"Anarhichas_lupus-27",2002,1.59651205946136
4,"Pandalus_borealis-27",2002,0.37738038235103
5,"Micromesistius_poutassou-27",2002,1.36198058521476
5,"Molva_molva-27",2002,1.63810054205438
5,"Brosme_brosme-27",2002,1.37112937502161
5,"Sebastes_norvegicus-27",2002,1.55430344940491
5,"Sebastes_mentella-27",2002,1.9543768260964
5,"Reinhardtius_hippoglossoides-27",2002,1.17790390660989
5,"Trisopterus_esmarkii-27",2002,0.0550190451481884
5,"Pleuronectes_platessa-27",2002,0.317966179097554
5,"Pollachius_virens-27",2002,1.58407237173364
5,"Melanogrammus_aeglefinus-27",2002,1.15910640295939
5,"Anarhichas_lupus-27",2002,1.59651205946136
5,"Pandalus_borealis-27",2002,0.37738038235103
6,"Merlangius_merlangus-27",2002,0.0126439539128614
6,"Micromesistius_poutassou-27",2002,1.36198058521476
6,"Molva_molva-27",2002,1.63810054205438
6,"Brosme_brosme-27",2002,1.37112937502161
6,"Cetorhinus_maximus-27",2002,0.0714274234960781
6,"Sebastes_norvegicus-27",2002,1.55430344940491
6,"Sebastes_mentella-27",2002,1.9543768260964
6,"Reinhardtius_hippoglossoides-27",2002,1.17790390660989
6,"Trisopterus_esmarkii-27",2002,0.0550190451481884
6,"Pleuronectes_platessa-27",2002,0.317966179097554
6,"Pollachius_virens-27",2002,1.58407237173364
6,"Hippoglossus_hippoglossus-27",2002,0.699225621456994
6,"Melanogrammus_aeglefinus-27",2002,1.15910640295939
6,"Anarhichas_lupus-27",2002,1.59651205946136
6,"Pandalus_borealis-27",2002,0.37738038235103
7,"Micromesistius_poutassou-27",2002,1.36198058521476
7,"Sebastes_norvegicus-27",2002,1.55430344940491
7,"Melanogrammus_aeglefinus-27",2002,1.15910640295939
8,"Clupea_harengus-21",2002,0.126665694337452
8,"Cyclopterus_lumpus-21",2002,1.04828101934627
8,"Gadus_morhua-21",2002,0.0284338277383109
8,"Mallotus_villosus-21",2002,0.118224296258397
8,"Gadus_ogac-21",2002,0.530061020036457
8,"Reinhardtius_hippoglossoides-21",2002,1.87044587908155
8,"Melanogrammus_aeglefinus-21",2002,0.289100483366689
8,"Hippoglossoides_platessoides-21",2002,0.00464689922915562
8,"Pandalus_borealis-21",2002,1.43027248194817
8,"Chionoecetes_opilio-21",2002,1.8569166304218
