rgn_id,habitat,trend
1,coral,-0.0265959528457377
1,saltmarsh,0
1,seagrass,-1
1,seaice_shoreline,-0.0200474495848155
1,soft_bottom,0.00786545285137392
1,seaice_edge,-0.0823761178631235
1,mangrove,-0.009556
2,saltmarsh,0
2,seaice_edge,0.0060808508165624
2,seaice_shoreline,0.0186120805490121
2,soft_bottom,0
3,saltmarsh,0
3,seaice_edge,0.0060808508165624
3,seaice_shoreline,0.0186120805490121
3,soft_bottom,0
4,seaice_shoreline,-0.00883233258047355
4,soft_bottom,0.00122922795361817
4,seaice_edge,0.0183783672517192
5,soft_bottom,-0.0126805113839163
5,seaice_edge,-0.0124321150741221
5,seaice_shoreline,-0.320906266575709
6,soft_bottom,-0.0126805113839163
6,seaice_edge,-0.0124321150741221
6,seaice_shoreline,-0.320906266575709
7,soft_bottom,-0.0126805113839163
7,seaice_edge,-0.0124321150741221
7,seaice_shoreline,-0.320906266575709
8,soft_bottom,0.047926722464451
8,seaice_edge,0.0331408666555525
8,seaice_shoreline,0.0162587432934127
9,soft_bottom,0.047926722464451
9,seaice_edge,0.0331408666555525
9,seaice_shoreline,0.0162587432934127
