rgn_id,stock_id_taxonkey,year,mean_catch
1,Marine_fishes_not_identified-18_100039,2001,6.086911759
1,Osmeridae-18_400080,2001,10.74183498
1,Oncorhynchus-18_502724,2001,0.2370319
1,Coregonus-18_506253,2001,130.6689126
1,Oncorhynchus_gorbuscha-18_600240,2001,10.36251257
1,Eleginus_gracilis-18_600315,2001,14.25674735
1,Boreogadus_saida-18_600319,2001,3.256116464
1,Clupea_pallasii_pallasii-18_601520,2001,9.972686583
1,Coregonus_autumnalis-18_602669,2001,14.42070644
1,Coregonus_nasus-18_602674,2001,49.36039386
1,Coregonus_pidschian-18_602676,2001,0.01166157
1,Coregonus_sardinella-18_602678,2001,12.01454442
1,Salvelinus_malma_malma-18_602691,2001,80.66130089
1,Stenodus_leucichthys-18_602692,2001,192.9441839
1,Myoxocephalus_quadricornis-18_604122,2001,0.905009749
1,Platichthys_stellatus-18_604249,2001,3.80E-07
1,Coregonus_laurettae-18_646941,2001,4.497809572
1,Marine_fishes_not_identified-18_100039,2002,6.086911759
1,Osmeridae-18_400080,2002,10.74183498
1,Oncorhynchus-18_502724,2002,0.2370319
1,Coregonus-18_506253,2002,130.6689126
1,Oncorhynchus_gorbuscha-18_600240,2002,10.36251257
1,Eleginus_gracilis-18_600315,2002,14.25674735
1,Boreogadus_saida-18_600319,2002,3.256116464
1,Clupea_pallasii_pallasii-18_601520,2002,9.972686583
1,Coregonus_autumnalis-18_602669,2002,14.42070644
1,Coregonus_nasus-18_602674,2002,49.36039386
1,Coregonus_pidschian-18_602676,2002,0.01166157
1,Coregonus_sardinella-18_602678,2002,12.01454442
1,Salvelinus_malma_malma-18_602691,2002,80.66130089
1,Stenodus_leucichthys-18_602692,2002,192.9441839
1,Myoxocephalus_quadricornis-18_604122,2002,0.905009749
1,Platichthys_stellatus-18_604249,2002,3.80E-07
1,Coregonus_laurettae-18_646941,2002,4.497809572
1,Marine_fishes_not_identified-18_100039,2003,6.086911759
1,Osmeridae-18_400080,2003,10.74183498
1,Oncorhynchus-18_502724,2003,0.2370319
1,Coregonus-18_506253,2003,130.6689126
1,Oncorhynchus_gorbuscha-18_600240,2003,10.36251257
1,Eleginus_gracilis-18_600315,2003,14.25674735
1,Boreogadus_saida-18_600319,2003,3.256116464
