rgn_id,rgn_name,sciname,iucn_sid,cat,cat_score,year,mean_cat,ico_status,n_spp,trend_lm,ico_trend
1,Alaska,Balaena mysticetus,2467,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2467,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2467,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2467,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2467,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2468,CD,0.3,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2468,CD,0.3,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2468,CD,0.3,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2468,CD,0.3,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Balaena mysticetus,2468,CD,0.3,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Erignathus barbatus,8010,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Erignathus barbatus,8010,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Erignathus barbatus,8010,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Erignathus barbatus,8010,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Erignathus barbatus,8010,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Odobenus rosmarus,15106,VU,0.4,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Odobenus rosmarus,15106,VU,0.4,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Odobenus rosmarus,15106,VU,0.4,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Odobenus rosmarus,15106,VU,0.4,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Odobenus rosmarus,15106,VU,0.4,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Phoca largha,17023,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Phoca largha,17023,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Pusa hispida,41672,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Pusa hispida,41672,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Pusa hispida,41672,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
1,Alaska,Pusa hispida,41672,LC,0,2016,0.11,89,5,-0.0027272727272726976,-0.01364
