"rgn_id","habitat","trend"
1,"seaice_edge",-0.00513610683102235
2,"seaice_edge",0.0844520729888215
3,"seaice_edge",0.298645259810306
4,"seaice_edge",0.109882460571587
5,"seaice_edge",-0.098822097193432
6,"seaice_edge",-0.428433268858794
7,"seaice_edge",-0.768074445239795
8,"seaice_edge",0.0197775419565298
9,"seaice_edge",-0.050755668878646
1,"seaice_shoreline",-0.0400809204703501
2,"seaice_shoreline",-0.01457086422694
3,"seaice_shoreline",-0.0561951313631535
4,"seaice_shoreline",-0.06036721424999
5,"seaice_shoreline",-0.0918665735061965
6,"seaice_shoreline",-0.122314049586775
8,"seaice_shoreline",-0.0126235560319162
9,"seaice_shoreline",0.0406378950068267
1,"soft_bottom",NA
2,"soft_bottom",NA
3,"soft_bottom",NA
4,"soft_bottom",NA
5,"soft_bottom",NA
6,"soft_bottom",NA
7,"soft_bottom",NA
8,"soft_bottom",NA
9,"soft_bottom",NA
