"rgn_id","habitat","health"
1,"seaice_edge",1
2,"seaice_edge",1
3,"seaice_edge",1
4,"seaice_edge",1
5,"seaice_edge",0.821994535519126
6,"seaice_edge",0.325589399414903
7,"seaice_edge",0.013869625520111
8,"seaice_edge",0.740497392005994
9,"seaice_edge",0.808258972833631
1,"seaice_shoreline",0.847564487284411
2,"seaice_shoreline",0.966703936816627
3,"seaice_shoreline",0.925791529773288
4,"seaice_shoreline",0.882064275422343
5,"seaice_shoreline",0.764252978918423
6,"seaice_shoreline",0.505050505050505
8,"seaice_shoreline",0.799482462802014
9,"seaice_shoreline",0.941618299761011
1,"soft_bottom",1
2,"soft_bottom",1
3,"soft_bottom",1
4,"soft_bottom",1
5,"soft_bottom",1
6,"soft_bottom",0.617879087134442
7,"soft_bottom",0.827577976748571
8,"soft_bottom",0.941155064171424
9,"soft_bottom",1
