"rgn_id","habitat","health"
1,"seaice_edge",0.959301269668301
2,"seaice_edge",1
3,"seaice_edge",1
4,"seaice_edge",1
5,"seaice_edge",0.756041287188828
6,"seaice_edge",0.329375322663913
7,"seaice_edge",0.0110957004160888
8,"seaice_edge",0.767124866718538
9,"seaice_edge",0.851338488994646
1,"seaice_shoreline",0.863568852111182
2,"seaice_shoreline",0.950673584676524
3,"seaice_shoreline",0.899001291292764
4,"seaice_shoreline",0.857868762311799
5,"seaice_shoreline",0.63923006416132
6,"seaice_shoreline",0.454545454545455
8,"seaice_shoreline",0.798244873850308
9,"seaice_shoreline",0.952998748150677
1,"soft_bottom",1
2,"soft_bottom",1
3,"soft_bottom",1
4,"soft_bottom",1
5,"soft_bottom",1
6,"soft_bottom",0.583950346767712
7,"soft_bottom",0.609959307725035
8,"soft_bottom",0.953784084047812
9,"soft_bottom",1
