"rgn_id","habitat","health"
1,"seaice_edge",1
2,"seaice_edge",1
3,"seaice_edge",1
4,"seaice_edge",1
5,"seaice_edge",0.760141528840615
6,"seaice_edge",0.272941176470588
7,"seaice_edge",0.0383339476594176
8,"seaice_edge",0.694922960343521
9,"seaice_edge",0.859945328831002
1,"seaice_shoreline",0.844243792325056
2,"seaice_shoreline",0.955206102323877
3,"seaice_shoreline",0.924158803631832
4,"seaice_shoreline",0.841928110321268
5,"seaice_shoreline",0.546762589928058
6,"seaice_shoreline",0.391608391608392
8,"seaice_shoreline",0.796804341272234
9,"seaice_shoreline",0.961472894647119
1,"soft_bottom",1
2,"soft_bottom",1
3,"soft_bottom",1
4,"soft_bottom",1
5,"soft_bottom",1
6,"soft_bottom",0.580836021518255
7,"soft_bottom",0.266580378486738
8,"soft_bottom",0.945140034034321
9,"soft_bottom",1
