region_id,score,dimension,goal
1,85.5566669697796,status,ao_ice
2,98.48532435499608,status,ao_ice
3,95.97737785841551,status,ao_ice
4,88.80876310068241,status,ao_ice
5,60.629391995111504,status,ao_ice
6,38.3838383838384,status,ao_ice
8,84.4035665063427,status,ao_ice
9,94.18459087288042,status,ao_ice
1,0.016522423288749,trend,ao_ice
2,0.030687124749834097,trend,ao_ice
3,0.06214798990095351,trend,ao_ice
4,0.0165219907407414,trend,ao_ice
5,-0.259454705364997,trend,ao_ice
6,-0.400000000000005,trend,ao_ice
8,0.0679179566563485,trend,ao_ice
9,-0.00833937635968135,trend,ao_ice
